airport,lat,long
VEA Callao,-12.060019,-77.131444
VEA Chimbote,-9.078409,-78.588986
VEA Nvo Chimbote,-9.126458,-78.535479
VEA Pte Piedra,-11.863912,-77.072954
VEA Risso,-12.086832,-77.034371
VEA Super Ayacucho,-12.142696,-77.003021
VEA Super Salamanca,-12.080399,-76.986105
VEA Ventanilla,-11.872492,-77.126707
EXP Magdalena,-12.091908,-77.072376
VEA Alameda Sur,-12.19659,-77.011894
VEA Centro Trujillo,-8.115938,-79.026164
VEA Ceres,-12.031981,-76.926026
VEA Chacarero,-8.090721,-79.00605
VEA Chiclayo,-6.779365,-79.833035
VEA Cusco Arz.,-13.522711,-71.950454
VEA El Agustino,-12.033557,-76.997857
VEA Huancayo,-12.067665,-75.204866
VEA Ica,-14.072742,-75.737525
VEA Lurin,-12.274077,-76.87348
VEA Moquegua,-17.187142,-70.936758
VEA Piura,-5.185677,-80.642922
VEA Proceres,-11.952207,-76.987919
VEA Rimac Alcazar,-12.028792,-77.030963
VEA Salaverry,-12.089631,-77.052141
VEA Sucre,-12.075768,-77.064225
VEA Trujillo Valcarcel,-8.101543,-79.035537
VEA Acho,-12.041557,-77.022086
VEA Arequipa,-16.398374,-71.541449
VEA Bolichera,-12.148573,-76.986992
VEA Brasil,-12.075321,-77.053163
VEA Cajamarca,-7.154552,-78.505118
VEA Colonial,-12.052205,-77.092491
VEA Jockey,-12.085013,-76.975915
VEA Miraflores,-12.112136,-77.029628
VEA Multipiura,-5.195678,-80.630351
VEA Pisco,-13.711768,-76.195414
VEA Primavera,-12.111373,-77.006755
VEA Pucallpa,-8.38428,-74.556106
VEA San Isidro,-12.097469,-77.026285
VEA Sta Clara,-12.015339,-76.885277
VEA Ate,-12.054729,-76.962662
VEA Breña,-12.065747,-77.04829
VEA Chincha,-13.416525,-76.141689
VEA Comas,-11.933164,-77.04558
VEA Corpac,-12.098514,-77.011517
VEA El Ejercito,-16.389941,-71.549924
VEA Guardia Civil,-12.17259,-76.992442
VEA Huacho,-11.109982,-77.613399
VEA JR De La Union,-12.048117,-77.033014
VEA La Victoria,-12.064742,-77.029766
VEA Mercaderes,-12.129443,-76.983795
VEA Pro,-11.939738,-77.069685
VEA Puno,-15.83695,-70.025563
VEA Sullana,-4.889349,-80.687566
VEA Talara,-4.580079,-81.2744
VEA Talara Mall,-4.587211,-81.258688
VEA Trujillo,-8.131329,-79.032248
VEA Universitaria,-12.010724,-77.079977
VEA Villa el Salvador,-12.231054,-76.910834
VEA Villa Marina,-12.187217,-77.00802
EXP Santa Cruz,-12.106061,-77.048758
VEA Chorrillos,-12.168313,-77.025698
VEA Dasso,-12.10755,-77.039261
VEA Huanuco,-9.92024,-76.241057
VEA Juliaca,-15.494397,-70.130512
VEA Mexico,-12.065129,-77.003744
VEA Paita,-5.088153,-81.096113
VEA Placita,-12.202322,-76.933441
VEA Super Chaclacayo,-11.976161,-76.771545
VEA Caminos del Inca,-12.114486,-76.990909
VEA El Cortijo,-12.134592,-77.018374
VEA Jaen,-5.727995,-78.796049
VEA La Curva,-12.180394,-76.941976
VEA La Perla,-12.068515,-77.120545
VEA S. J. Lurigancho,-11.990892,-77.015632
VEA Tacna,-18.018134,-70.252601
VEA Valle Hermoso,-12.127157,-76.975032
VEA Chosica,-11.94031,-76.699783
VEA La Molina,-12.091341,-76.950461
VEA Los Olivos,-11.994731,-77.072263
VEA San Borja,-12.090004,-77.004283
VEA San Jorge,-12.069916,-76.958095
VEA Alf Ugarte,-12.053767,-77.041585
VEA Barranca,-10.75134,-77.761623
VEA C Civico,-12.057447,-77.037904
VEA Eyzaguirre,-11.989059,-77.063114
VEA Higuereta,-12.127181,-77.001021
VEA Huancayo Tambo,-12.058068,-75.216455
VEA Huaral,-11.497473,-77.213749
VEA La Paz,-12.079848,-77.106906
VEA Rimac,-12.030347,-77.036331
VEA SKA Chimbote,-9.073361,-78.592467
VEA Trujillo Mansiche,-8.107634,-79.029994
VEA_Magdalena,-12.089486,-77.075316